,year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
581,1994,11,8,Delaware,201560,512941
582,1994,55,9,District of Columbia,186316,411886
583,1994,43,10,Florida,4305340,9810247
584,1994,44,11,Georgia,NA,4978431
585,1994,82,12,Hawaii,377011,808904
586,1994,63,13,Idaho,419330,784076
587,1994,21,14,Illinois,3219122,8175312
588,1994,22,15,Indiana,1609481,4235008
589,1994,31,16,Iowa,1022372,2077709
590,1994,32,17,Kansas,836251,1837694
591,1994,51,18,Kentucky,827541,2829881
592,1994,45,19,Louisiana,893758,3038660
593,1994,2,20,Maine,NA,918204
594,1994,52,21,Maryland,1437450,3480270
595,1994,3,22,Massachusetts,2232186,4353287
596,1994,23,23,Michigan,3177740,6856388
597,1994,33,24,Minnesota,1794618,3253779
598,1994,46,25,Mississippi,621096,1903794
599,1994,34,26,Missouri,NA,3858946
600,1994,64,27,Montana,359455,622246
601,1994,35,28,Nebraska,593654,1164502
602,1994,65,29,Nevada,386582,1032456
603,1994,4,30,New Hampshire,319443,829590
604,1994,12,31,New Jersey,2131328,5392423
605,1994,66,32,New Mexico,485709,1128243
606,1994,13,33,New York,5325323,12192316
607,1994,47,34,North Carolina,NA,5244552
608,1994,36,35,North Dakota,240430,468989
609,1994,24,36,Ohio,3540954,8132122
610,1994,53,37,Oklahoma,1002363,2327519
611,1994,72,38,Oregon,1254265,2229242
612,1994,14,39,Pennsylvania,NA,9043585
613,1994,5,40,Rhode Island,NA,716002
614,1994,48,41,South Carolina,951901,2663830
615,1994,37,42,South Dakota,318090,518815
616,1994,54,43,Tennessee,NA,3850228
617,1994,49,44,Texas,NA,11719888
618,1994,67,45,Utah,532737,1248726
619,1994,6,46,Vermont,216715,426953
620,1994,40,47,Virginia,NA,4718968
621,1994,73,48,Washington,1733471,3715174
622,1994,56,49,West Virginia,439551,1379339
623,1994,25,50,Wisconsin,NA,3692668
624,1994,68,51,Wyoming,204025,337032
625,1992,0,0,United States,104426659,179655523
626,1992,41,1,Alabama,NA,3030549
627,1992,81,2,Alaska,261427,389898
628,1992,61,3,Arizona,1516276,2671933
629,1992,42,4,Arkansas,NA,1751083
630,1992,71,5,California,11374565,18460157
631,1992,62,6,Colorado,1597166,2494998
632,1992,1,7,Connecticut,1645609,2356937
633,1992,11,8,Delaware,290836,499266
634,1992,55,9,District of Columbia,231445,427102
635,1992,43,10,Florida,5438612,9506230
636,1992,44,11,Georgia,NA,4766958
637,1992,82,12,Hawaii,382882,795148
638,1992,63,13,Idaho,491725,734855
639,1992,21,14,Illinois,5164357,8113900
640,1992,22,15,Indiana,2347912,4162678
641,1992,31,16,Iowa,1360856,2057690
